Fabric_Type,Region,Cost_per_Unit(INR),Transport_Time(days),Distance_to_Base(km),Demand_Units,Available_Stock,Supplier_Rating(1-5),Risk_Factor(1-10),Supply_Priority
Cotton,Coastal,254.68,9.03,285.8,12007,14571,1.5,8.0,LOW
Cotton,High Altitude,332.16,39.67,2507.9,17906,27393,4.7,1.5,MEDIUM
Nylon,Hot Desert,389.38,22.0,1659.6,9310,10016,2.3,5.3,MEDIUM
Cotton,Hot Desert,385.96,10.3,639.9,11379,13161,1.9,2.7,MEDIUM
Bamboo Fibre,General Use,454.04,6.85,310.0,7886,10718,1.9,2.5,LOW
Wool,Coastal,948.26,12.35,690.5,6890,9053,1.0,7.6,MEDIUM
Nylon,Hot Desert,485.44,24.27,1566.4,4480,2540,4.8,6.3,HIGH
Wool,General Use,622.5,4.87,303.9,4947,2453,2.1,3.2,MEDIUM
Wool,Jungle,454.23,26.18,905.4,12698,18781,3.4,8.5,MEDIUM
Bamboo Fibre,High Altitude,412.01,23.62,973.2,9855,10306,3.5,4.9,MEDIUM
Cotton,Jungle,358.87,29.82,1736.1,13914,16860,3.3,3.7,MEDIUM
Bamboo Fibre,Cold Desert,383.35,26.77,870.9,12702,8974,4.9,9.8,HIGH
Wool,Cold Desert,1103.98,16.74,646.4,14611,15068,2.4,3.1,MEDIUM
Bamboo Fibre,Coastal,665.76,11.89,492.2,11264,13228,4.9,8.0,MEDIUM
Wool,Cold Desert,808.8,12.12,928.5,9485,5658,3.9,9.2,MEDIUM
Kevlar,High Altitude,1476.72,28.55,2145.4,12653,13730,3.5,5.5,MEDIUM
Wool,Cold Desert,418.55,27.62,1115.3,13062,14335,4.0,2.6,MEDIUM
Cotton,Jungle,549.44,25.05,1605.4,8423,5316,2.3,5.1,HIGH
Wool,Cold Desert,720.87,13.64,411.2,10526,12400,3.8,8.9,MEDIUM
Cotton,General Use,444.19,8.7,487.9,3146,3823,4.7,9.3,LOW
Bamboo Fibre,High Altitude,494.56,26.63,1616.9,11138,10811,4.7,1.6,MEDIUM
Bamboo Fibre,General Use,255.45,8.24,563.0,5885,7179,1.8,4.6,LOW
Wool,General Use,1093.92,5.27,355.7,4675,3878,1.3,1.7,MEDIUM
Kevlar,General Use,3048.67,9.72,297.6,3591,1666,4.0,3.6,MEDIUM
Bamboo Fibre,High Altitude,353.09,35.79,1165.6,9621,13610,2.4,9.4,MEDIUM
Nylon,High Altitude,579.69,41.67,3017.9,11068,13437,4.0,2.0,MEDIUM
Wool,Jungle,950.02,22.77,1493.8,10419,15631,1.6,3.7,MEDIUM
Nylon,Cold Desert,428.77,15.07,740.8,12337,12444,1.5,5.2,MEDIUM
Nylon,General Use,883.08,7.56,248.3,7646,4580,2.4,5.0,MEDIUM
Kevlar,Coastal,2972.23,9.89,385.5,8837,6641,1.2,4.9,MEDIUM
Kevlar,Coastal,3101.9,14.22,637.9,5484,6729,3.1,6.8,MEDIUM
Bamboo Fibre,High Altitude,670.74,21.66,1039.3,14184,19328,1.8,2.2,MEDIUM
Kevlar,Coastal,2288.81,7.47,414.2,7244,5770,4.6,8.2,MEDIUM
Nylon,High Altitude,774.36,39.47,3093.2,14616,15668,1.7,3.5,MEDIUM
Kevlar,Hot Desert,1208.84,20.45,1515.1,6620,4441,4.1,3.1,HIGH
Cotton,Hot Desert,472.47,24.72,1057.4,10496,13499,4.2,4.1,MEDIUM
Cotton,High Altitude,402.3,43.83,3227.7,15599,11906,2.3,8.5,HIGH
Polyester,Cold Desert,325.17,28.67,1031.7,6796,8323,3.2,4.6,MEDIUM
Bamboo Fibre,Coastal,480.15,9.37,543.8,5995,6810,3.4,3.2,LOW
Polyester,High Altitude,405.3,44.62,3061.6,8499,4483,4.2,8.2,HIGH
Kevlar,Cold Desert,1544.95,23.44,1235.5,11503,9291,1.6,3.6,HIGH
Polyester,Hot Desert,359.04,17.71,803.4,4457,1964,4.8,9.0,MEDIUM
Polyester,High Altitude,364.14,21.97,923.7,14258,10157,4.6,6.4,HIGH
Nylon,High Altitude,880.8,22.28,1373.0,9638,6193,1.2,9.0,HIGH
Bamboo Fibre,Coastal,513.91,9.07,623.4,5690,5816,3.2,6.3,LOW
Nylon,Cold Desert,413.37,29.97,1257.3,5074,5890,2.7,2.8,MEDIUM
Bamboo Fibre,Coastal,592.73,9.55,380.8,11656,7673,1.7,9.4,MEDIUM
Kevlar,Hot Desert,1747.92,15.63,640.7,4792,5476,3.0,6.6,MEDIUM
Polyester,High Altitude,318.84,33.48,2298.8,6646,9031,3.1,5.4,MEDIUM
Kevlar,Jungle,3491.62,25.96,1680.2,17944,10539,2.8,9.9,HIGH
Nylon,Coastal,650.53,13.7,921.5,8525,12244,4.9,4.2,MEDIUM
Kevlar,General Use,1921.43,6.07,484.2,3509,4881,3.3,1.2,LOW
Nylon,Coastal,300.7,8.98,421.4,6413,6541,3.4,3.1,LOW
Cotton,Hot Desert,341.09,16.92,870.9,4938,7562,3.6,9.0,MEDIUM
Wool,General Use,777.64,4.01,204.0,5705,2976,2.0,6.5,MEDIUM
Nylon,Hot Desert,872.81,22.74,1336.8,6508,6513,1.8,5.6,MEDIUM
Wool,Hot Desert,1042.3,24.47,1735.7,9117,14570,3.8,4.9,MEDIUM
Kevlar,Coastal,2940.07,7.93,575.2,9309,7151,4.2,7.6,MEDIUM
Nylon,Hot Desert,734.49,12.88,863.2,5758,7222,3.8,6.9,MEDIUM
Polyester,General Use,164.4,6.54,521.0,3582,3089,4.9,5.4,MEDIUM
Cotton,General Use,257.54,6.48,310.4,6016,9065,3.8,8.4,LOW
Wool,High Altitude,542.52,25.33,1198.6,7556,5039,4.9,6.1,HIGH
Nylon,Coastal,410.71,14.24,755.2,5104,6717,4.5,3.0,MEDIUM
Bamboo Fibre,General Use,373.4,6.31,427.9,9990,5189,3.1,1.7,MEDIUM
Cotton,Jungle,313.56,29.59,2159.0,18781,29265,2.2,5.6,MEDIUM
Wool,Hot Desert,481.36,11.06,621.7,9297,4867,1.9,8.1,MEDIUM
Cotton,High Altitude,389.23,44.41,2151.1,8151,4342,1.4,8.2,HIGH
Cotton,General Use,592.72,6.58,262.4,6417,8172,3.1,7.8,LOW
Polyester,Hot Desert,319.65,17.66,940.4,11116,13044,1.7,2.5,MEDIUM
Wool,High Altitude,1041.93,37.94,2244.3,11176,8130,3.8,3.8,HIGH
Nylon,Jungle,394.72,27.7,1202.5,6514,4282,4.6,4.9,HIGH
Wool,Coastal,897.92,7.14,286.5,7860,8773,1.2,9.6,LOW
Nylon,Jungle,308.33,18.93,1468.8,6496,5951,2.4,4.6,MEDIUM
Polyester,Jungle,242.12,27.5,957.5,9132,9853,4.9,6.4,MEDIUM
Cotton,Coastal,571.09,6.69,518.3,5795,7081,4.3,5.9,LOW
Kevlar,General Use,2478.57,5.66,238.2,6556,5175,2.1,5.5,MEDIUM
Nylon,Coastal,310.85,7.91,579.5,12792,8179,3.0,8.3,MEDIUM
Polyester,Coastal,157.84,8.95,296.1,10639,12510,2.1,8.7,LOW
Bamboo Fibre,General Use,368.43,6.04,195.5,5686,5421,4.5,6.4,MEDIUM
Cotton,Hot Desert,311.28,15.65,1070.2,6641,7045,1.0,1.5,MEDIUM
Nylon,Cold Desert,562.32,28.35,1162.7,5466,7207,3.0,2.0,MEDIUM
Wool,Jungle,591.36,21.27,1533.9,6496,5923,4.8,3.0,MEDIUM
Cotton,Cold Desert,430.71,26.69,1382.4,9529,7225,3.6,2.3,HIGH
Wool,Coastal,826.17,14.14,571.8,5965,6079,4.7,2.6,MEDIUM
Kevlar,Hot Desert,1771.23,24.63,827.2,5139,2679,2.9,7.7,HIGH
Cotton,Jungle,278.79,18.33,1085.0,6402,3784,3.6,1.1,HIGH
Cotton,Jungle,587.53,36.18,2702.3,16506,22199,1.1,4.5,MEDIUM
Nylon,General Use,844.38,7.96,444.7,4737,7348,2.5,3.7,LOW
Wool,High Altitude,484.38,39.27,2429.9,15722,14813,2.7,8.0,MEDIUM
Wool,Cold Desert,777.31,14.8,624.2,11701,17734,1.8,10.0,MEDIUM
Bamboo Fibre,Coastal,467.31,6.62,297.6,8065,8007,1.3,7.2,MEDIUM
Polyester,Jungle,348.04,38.81,2784.9,11056,9542,2.5,1.2,MEDIUM
Polyester,Cold Desert,444.57,23.37,943.3,14681,19032,4.0,6.2,MEDIUM
Cotton,Coastal,510.0,5.98,396.5,8305,10866,2.5,3.0,LOW
Wool,Cold Desert,1170.11,12.73,472.7,10004,12098,2.7,6.9,MEDIUM
Bamboo Fibre,Cold Desert,607.98,18.54,1375.5,8890,11639,2.7,4.6,MEDIUM
Bamboo Fibre,High Altitude,298.12,38.45,1208.3,14459,22392,3.4,1.6,MEDIUM
Kevlar,Cold Desert,2853.5,12.48,965.3,14791,11184,3.0,7.1,MEDIUM
Polyester,Cold Desert,430.45,27.28,1726.9,5114,4418,2.1,2.7,MEDIUM
Kevlar,Jungle,2941.79,15.59,981.4,9580,6911,1.3,6.4,MEDIUM
Wool,High Altitude,919.62,31.89,1900.7,6494,8564,2.8,2.9,MEDIUM
Nylon,Cold Desert,748.7,13.23,674.4,7633,11472,2.5,3.9,MEDIUM
Kevlar,Jungle,1711.09,37.07,1910.3,11659,12860,3.8,6.6,MEDIUM
Nylon,Coastal,510.76,10.66,627.1,12467,19887,4.3,6.7,MEDIUM
Bamboo Fibre,Cold Desert,357.55,14.37,834.0,9886,5961,2.1,9.7,MEDIUM
Wool,High Altitude,1185.64,23.4,932.5,12042,10542,3.5,4.3,MEDIUM
Wool,Jungle,914.52,24.46,1160.4,16194,18457,4.4,1.3,MEDIUM
Bamboo Fibre,Cold Desert,377.69,24.6,853.0,14120,12723,1.4,4.4,MEDIUM
Bamboo Fibre,Hot Desert,472.96,11.07,721.5,8876,9191,2.8,6.1,MEDIUM
Bamboo Fibre,Cold Desert,631.38,23.63,1647.4,9047,13237,2.1,4.2,MEDIUM
Wool,Jungle,445.65,21.86,1158.8,17654,16389,1.5,4.7,MEDIUM
Cotton,Coastal,509.85,13.92,864.6,9590,15279,1.9,6.4,MEDIUM
Cotton,Jungle,228.67,16.59,530.0,9552,13833,4.3,9.6,MEDIUM
Cotton,Cold Desert,291.5,16.78,656.4,12084,5952,3.1,4.8,MEDIUM
Wool,Hot Desert,624.46,16.75,1103.7,6682,4707,4.3,3.2,MEDIUM
Wool,General Use,1002.77,5.58,396.3,5956,3634,1.6,1.0,MEDIUM
Nylon,Coastal,899.79,9.25,618.5,9135,14440,4.0,9.6,LOW
Bamboo Fibre,Jungle,340.41,20.93,1086.9,9303,9906,1.4,4.3,MEDIUM
Nylon,High Altitude,696.66,41.26,2118.7,12045,14314,4.7,1.6,MEDIUM
Nylon,Jungle,898.59,36.13,2240.3,12558,11412,2.7,3.9,MEDIUM
Wool,General Use,954.02,8.23,484.1,3773,3448,1.7,2.0,MEDIUM
Bamboo Fibre,Cold Desert,258.0,22.15,1599.2,12352,8399,4.5,5.6,HIGH
Nylon,Jungle,379.79,17.84,610.2,7224,10766,1.4,2.8,MEDIUM
Bamboo Fibre,Hot Desert,632.69,15.14,729.7,4156,3123,5.0,1.5,MEDIUM
Polyester,General Use,207.23,7.02,376.7,7676,10326,4.1,9.5,LOW
Cotton,General Use,279.53,9.06,586.4,9331,3790,1.7,8.0,MEDIUM
Bamboo Fibre,Coastal,641.45,11.12,859.1,4683,2176,4.2,8.4,MEDIUM
Nylon,Cold Desert,626.45,12.79,770.8,8449,5790,2.7,3.7,MEDIUM
Wool,Jungle,742.08,39.79,3009.1,6565,6839,4.1,4.1,MEDIUM
Wool,Coastal,737.68,5.18,177.2,9407,7825,1.1,4.3,MEDIUM
Nylon,General Use,661.78,6.03,198.7,7615,9822,2.3,4.2,LOW
Bamboo Fibre,Cold Desert,539.07,29.7,1992.7,11940,7767,4.9,2.5,HIGH
Kevlar,Cold Desert,2783.63,27.43,1497.0,12065,15887,2.5,6.3,MEDIUM
Polyester,Jungle,245.86,18.97,1347.1,6202,5957,2.4,9.5,MEDIUM
Nylon,Hot Desert,672.86,20.93,1669.9,9551,8852,3.4,1.5,MEDIUM
Wool,General Use,794.1,8.86,524.3,6926,3065,3.7,6.4,MEDIUM
Nylon,Cold Desert,664.78,29.78,1111.5,14524,14709,4.3,4.1,MEDIUM
Polyester,Coastal,335.99,7.84,608.8,5779,5325,4.5,8.8,MEDIUM
Nylon,High Altitude,346.15,37.95,1270.1,16172,11491,3.9,7.3,HIGH
Kevlar,General Use,2681.97,4.53,194.7,4636,1869,3.1,5.0,MEDIUM
Cotton,Cold Desert,290.88,17.7,1141.8,13330,12369,2.8,1.1,MEDIUM
Cotton,Coastal,411.89,5.15,270.8,6691,10067,4.8,3.0,LOW
Kevlar,High Altitude,1802.75,32.94,2569.6,15015,20738,4.0,5.3,MEDIUM
Polyester,General Use,279.92,3.55,251.5,4547,3911,2.0,6.4,MEDIUM
Bamboo Fibre,High Altitude,399.88,38.67,2538.3,13753,15372,3.1,2.9,MEDIUM
Cotton,High Altitude,588.35,29.99,1675.4,12173,5275,4.8,5.3,HIGH
Wool,Coastal,829.66,6.28,383.2,11855,16791,1.9,6.0,LOW
Cotton,Cold Desert,405.18,15.17,1205.3,5978,2926,3.0,2.8,MEDIUM
Bamboo Fibre,Jungle,296.9,23.8,935.8,15620,13896,1.3,1.5,MEDIUM
Kevlar,Hot Desert,1853.12,17.49,1074.5,8027,9589,1.5,5.5,MEDIUM
Cotton,High Altitude,205.09,28.14,1698.7,14898,15851,2.2,3.4,MEDIUM
Nylon,Coastal,357.15,11.17,533.8,7147,5116,1.8,3.0,MEDIUM
Wool,Coastal,519.64,14.59,1127.1,10944,14477,3.5,5.8,MEDIUM
Nylon,General Use,508.39,7.67,579.8,9689,9292,4.8,4.9,MEDIUM
Cotton,High Altitude,256.87,35.3,2045.6,7859,12520,1.9,2.6,MEDIUM
Kevlar,Jungle,1917.28,33.96,2432.3,12276,15731,4.5,8.1,MEDIUM
Cotton,Jungle,520.98,28.22,1019.3,8296,11792,1.6,7.2,MEDIUM
Kevlar,Jungle,3243.41,15.26,484.6,8888,8389,1.3,5.8,MEDIUM
Kevlar,Hot Desert,1564.27,16.55,501.4,7667,9746,2.6,6.9,MEDIUM
Polyester,Coastal,317.86,8.58,647.0,4565,3300,3.0,6.9,MEDIUM
Wool,High Altitude,904.96,21.74,792.3,17314,17699,4.0,6.9,MEDIUM
Kevlar,General Use,1675.76,5.57,334.7,7166,4396,4.7,4.1,MEDIUM
Wool,Jungle,1048.59,28.05,2147.0,8078,11489,4.6,7.4,MEDIUM
Nylon,Hot Desert,351.93,13.24,542.7,12936,10205,4.3,4.5,MEDIUM
Bamboo Fibre,Coastal,361.25,11.96,473.8,6561,3764,3.9,8.1,MEDIUM
Kevlar,General Use,2107.47,4.06,158.8,4621,2487,3.5,2.4,MEDIUM
Bamboo Fibre,High Altitude,656.98,25.63,1163.0,9489,12446,1.7,7.8,MEDIUM
Nylon,Cold Desert,467.36,22.83,1702.9,6809,10757,4.6,7.5,MEDIUM
Cotton,Coastal,571.95,12.46,816.7,13198,14227,2.1,9.3,MEDIUM
Bamboo Fibre,Hot Desert,486.86,10.55,377.0,9108,10380,4.9,4.0,MEDIUM
Bamboo Fibre,Cold Desert,423.31,28.78,1347.4,7278,7602,4.3,7.8,MEDIUM
Cotton,High Altitude,500.41,26.59,1520.6,17008,11120,3.6,5.8,HIGH
Kevlar,Jungle,2220.83,23.59,1249.1,11948,11788,4.2,8.7,MEDIUM
Bamboo Fibre,Cold Desert,259.39,16.11,1097.5,10657,12126,3.2,8.4,MEDIUM
Bamboo Fibre,General Use,345.65,7.39,556.7,9053,12662,3.7,4.3,LOW
Bamboo Fibre,Hot Desert,360.4,17.41,831.1,8936,12909,1.9,6.9,MEDIUM
Wool,Hot Desert,1067.73,14.15,554.9,8138,7662,4.6,2.5,MEDIUM
Polyester,General Use,239.2,3.96,228.2,6539,6539,4.4,7.1,MEDIUM
Polyester,Cold Desert,383.5,18.15,1101.1,13667,11900,2.1,3.9,MEDIUM
Wool,General Use,525.92,9.57,459.2,9155,13788,1.0,1.5,LOW
Cotton,Hot Desert,377.3,16.8,1264.4,4237,5971,4.4,5.7,MEDIUM
Wool,General Use,550.26,6.07,250.2,5616,2403,3.6,4.3,MEDIUM
Cotton,High Altitude,414.88,24.05,923.1,9402,14515,4.4,3.2,MEDIUM
Bamboo Fibre,Cold Desert,401.1,12.34,433.8,8732,9082,4.5,6.7,MEDIUM
Bamboo Fibre,Coastal,292.39,11.39,842.7,11274,15593,3.2,3.0,MEDIUM
Kevlar,High Altitude,2797.78,43.89,1790.7,7548,6849,3.0,4.7,MEDIUM
Cotton,High Altitude,522.63,38.22,1747.9,12815,14560,2.3,9.6,MEDIUM
Kevlar,Coastal,2414.48,10.98,753.4,7751,4811,3.1,6.2,MEDIUM
Nylon,Jungle,899.88,18.11,1181.6,16852,24781,4.4,7.0,MEDIUM
Kevlar,High Altitude,3247.39,33.02,1909.6,6458,7023,4.6,6.6,MEDIUM
Bamboo Fibre,General Use,333.96,5.9,367.6,8892,5448,4.9,2.3,MEDIUM
Kevlar,Cold Desert,1992.16,14.6,771.1,11482,17852,2.3,6.8,MEDIUM
Bamboo Fibre,High Altitude,498.64,29.96,1961.1,11805,14983,1.8,1.7,MEDIUM
Kevlar,Coastal,1995.87,13.72,1029.5,10491,6583,2.4,6.3,MEDIUM
Nylon,General Use,772.15,7.38,342.3,9076,12046,3.3,8.7,LOW
Bamboo Fibre,Coastal,537.54,8.92,703.0,8669,10185,2.1,9.3,LOW
Bamboo Fibre,Coastal,280.1,8.39,511.1,13039,17987,1.5,5.5,LOW
Cotton,Coastal,230.71,10.19,651.3,10972,16950,4.5,7.8,MEDIUM
Wool,Cold Desert,903.23,27.19,906.4,7559,4090,3.9,7.8,HIGH
Bamboo Fibre,Coastal,257.28,6.31,392.5,6977,4107,2.0,2.2,MEDIUM
Kevlar,Cold Desert,3193.76,14.55,775.3,13334,17316,3.8,5.3,MEDIUM
Kevlar,Hot Desert,1660.53,11.87,574.9,9493,5074,2.6,8.0,MEDIUM
Wool,Coastal,923.72,14.26,898.5,10740,7359,4.2,5.3,MEDIUM
Wool,Jungle,500.17,25.93,1876.9,7312,9536,3.1,2.4,MEDIUM
Bamboo Fibre,Hot Desert,337.0,14.11,685.8,12351,12818,4.4,6.4,MEDIUM
Polyester,High Altitude,431.07,31.07,1731.3,12481,18098,4.7,9.7,MEDIUM
Bamboo Fibre,Coastal,518.78,6.43,249.6,8618,8557,1.2,5.8,MEDIUM
Polyester,High Altitude,309.29,33.74,1807.4,12462,11447,3.4,4.5,MEDIUM
Cotton,Cold Desert,241.4,19.4,898.2,8644,7708,1.5,8.3,MEDIUM
Wool,General Use,658.84,5.41,403.9,5252,2271,1.3,5.6,MEDIUM
Bamboo Fibre,General Use,545.65,7.76,465.4,8210,4266,1.6,9.0,MEDIUM
Cotton,Cold Desert,413.6,14.07,790.2,10962,10732,2.9,3.1,MEDIUM
Nylon,Coastal,598.37,13.49,758.6,13126,10319,1.7,4.4,MEDIUM
Wool,Coastal,736.31,13.45,669.6,11857,8754,1.8,4.9,MEDIUM
Cotton,Cold Desert,477.66,21.4,1271.3,6686,6025,1.4,8.8,MEDIUM
Cotton,Cold Desert,253.39,22.58,1222.6,5952,8300,2.3,9.6,MEDIUM
Nylon,Cold Desert,809.47,16.3,980.9,9435,13670,2.3,2.3,MEDIUM
Bamboo Fibre,Hot Desert,628.57,16.58,671.5,5981,6217,1.8,5.7,MEDIUM
Nylon,Cold Desert,669.0,26.2,884.8,7399,3610,3.6,1.9,HIGH
Wool,Jungle,992.68,29.14,1832.1,15618,17447,4.1,3.5,MEDIUM
Wool,General Use,982.86,7.67,452.9,6061,3821,4.8,1.1,MEDIUM
Cotton,General Use,560.96,9.65,679.2,5227,2581,4.7,8.7,MEDIUM
Bamboo Fibre,High Altitude,313.71,30.25,1473.5,14292,19591,4.9,7.8,MEDIUM
Cotton,Coastal,575.38,9.92,539.5,11729,7366,4.9,2.3,MEDIUM
Bamboo Fibre,High Altitude,388.04,36.32,2185.4,14345,21608,3.0,8.8,MEDIUM
Wool,Hot Desert,559.66,15.67,489.6,11017,12145,3.7,4.3,MEDIUM
Wool,General Use,495.53,7.1,326.6,8456,4061,4.9,9.7,MEDIUM
Nylon,General Use,369.82,5.99,312.9,6406,8401,1.3,4.8,LOW
Bamboo Fibre,Hot Desert,350.94,17.61,851.2,10834,14761,2.9,7.8,MEDIUM
Cotton,Cold Desert,239.03,23.04,1443.8,10097,15976,4.9,4.2,MEDIUM
Polyester,Hot Desert,323.38,20.1,1200.9,9835,14457,3.8,9.0,MEDIUM
Nylon,Jungle,794.44,34.28,1626.0,13652,13474,2.2,2.4,MEDIUM
Nylon,Coastal,755.35,7.85,267.7,9683,9980,3.7,6.5,LOW
Bamboo Fibre,Hot Desert,612.5,11.5,817.7,12077,16801,1.7,7.6,MEDIUM
Wool,High Altitude,1123.67,38.65,2186.0,5576,5902,4.3,2.8,MEDIUM
Nylon,General Use,796.31,9.36,436.0,7741,11165,1.1,4.6,LOW
Wool,Coastal,1178.13,6.53,272.1,12276,7833,3.0,2.6,MEDIUM
Cotton,Cold Desert,419.5,17.59,671.3,8735,6442,4.4,3.2,MEDIUM
Polyester,General Use,440.51,6.8,431.2,9395,4039,4.7,5.3,MEDIUM
Nylon,Cold Desert,786.01,27.68,1356.2,8415,3394,2.6,7.6,HIGH
Wool,General Use,838.71,4.13,148.3,3731,2673,4.6,5.7,MEDIUM
Kevlar,High Altitude,3111.17,23.8,721.6,11808,15542,1.1,6.1,MEDIUM
Nylon,Hot Desert,520.22,12.68,794.7,7581,7837,1.3,8.2,MEDIUM
Cotton,Hot Desert,555.97,10.45,570.7,11100,16114,1.0,5.2,MEDIUM
Cotton,High Altitude,415.98,28.3,1071.9,8849,10176,2.4,3.5,MEDIUM
Polyester,Hot Desert,255.12,20.55,899.4,6971,5146,1.2,8.5,HIGH
Kevlar,General Use,2471.86,8.09,323.6,6656,5397,3.0,4.2,MEDIUM
Nylon,High Altitude,535.86,37.65,2663.2,16055,19252,1.7,7.5,MEDIUM
Wool,Cold Desert,964.3,27.54,1701.9,7041,8049,2.5,9.6,MEDIUM
Polyester,High Altitude,228.06,37.38,2402.6,5530,6537,5.0,5.4,MEDIUM
Wool,High Altitude,1189.55,41.01,2800.4,6481,6805,3.8,3.1,MEDIUM
Bamboo Fibre,Hot Desert,358.13,16.99,1237.5,4501,2570,1.7,1.5,MEDIUM
Wool,High Altitude,800.71,26.57,1900.0,10359,13657,4.1,8.4,MEDIUM
Bamboo Fibre,General Use,557.06,6.8,369.7,5654,2347,2.9,3.9,MEDIUM
Kevlar,Cold Desert,2496.0,20.1,830.0,6498,5922,3.0,3.1,MEDIUM
Polyester,Jungle,424.61,33.87,2624.0,13394,19947,3.2,2.4,MEDIUM
Wool,High Altitude,842.79,39.58,1896.4,7897,12164,4.1,3.4,MEDIUM
Nylon,Coastal,493.87,5.16,400.4,10773,15396,3.4,2.9,LOW
Kevlar,Hot Desert,1929.02,11.13,707.4,11797,14984,3.6,4.4,MEDIUM
Kevlar,Coastal,1406.02,8.54,655.5,12309,17032,1.4,4.3,LOW
Nylon,Cold Desert,455.06,26.09,1680.5,12101,12626,4.3,7.9,MEDIUM
Bamboo Fibre,Cold Desert,398.05,23.71,1179.6,12907,14762,1.5,4.9,MEDIUM
Bamboo Fibre,Hot Desert,409.33,21.28,1314.2,11760,12895,1.3,5.1,MEDIUM
Polyester,High Altitude,172.86,32.21,1469.4,11610,12709,3.8,4.5,MEDIUM
Cotton,Jungle,573.51,16.5,1000.3,15532,21498,3.9,6.0,MEDIUM
Bamboo Fibre,Jungle,695.48,30.18,1750.7,16903,12032,3.6,1.6,HIGH
Polyester,General Use,265.58,5.94,283.5,9039,10075,3.2,7.6,LOW
Wool,Coastal,898.89,5.73,195.0,11756,14569,4.4,3.0,LOW
Kevlar,Hot Desert,3088.65,21.57,1424.8,7557,8333,3.7,5.7,MEDIUM
Wool,Cold Desert,679.36,15.46,488.2,14411,10562,4.4,8.9,MEDIUM
Bamboo Fibre,Jungle,250.34,33.42,2228.7,19305,27417,3.8,5.5,MEDIUM
Bamboo Fibre,Cold Desert,501.21,24.98,1339.8,6010,8802,2.7,1.4,MEDIUM
Cotton,Coastal,424.67,8.95,599.7,5124,5237,2.0,5.8,LOW
Kevlar,High Altitude,2229.95,23.0,1518.5,14867,13963,2.2,1.0,MEDIUM
Nylon,General Use,884.86,9.17,704.2,5419,8487,4.5,8.7,LOW
Wool,High Altitude,728.58,24.52,1354.1,8743,11518,1.2,6.9,MEDIUM
Cotton,Hot Desert,505.65,17.55,1309.4,5979,7178,2.4,5.6,MEDIUM
Wool,Hot Desert,971.59,17.83,731.2,11992,13890,2.0,1.4,MEDIUM
Kevlar,Cold Desert,1823.12,26.71,1386.1,9694,9272,4.6,4.9,MEDIUM
Kevlar,Coastal,3163.46,8.25,475.5,9594,5274,3.4,8.4,MEDIUM
Wool,Cold Desert,527.46,21.17,1657.0,14000,7142,1.8,5.2,HIGH
Cotton,Jungle,367.77,23.48,1018.6,11000,10316,1.1,9.9,MEDIUM
Bamboo Fibre,Coastal,682.9,7.11,476.0,8724,11778,1.9,1.8,LOW
Bamboo Fibre,Cold Desert,305.79,26.37,854.2,5518,5175,4.0,4.1,MEDIUM
Nylon,Jungle,812.96,30.14,2186.4,18676,22209,3.2,2.4,MEDIUM
Nylon,General Use,665.74,7.24,577.1,5498,8427,5.0,3.1,LOW
Bamboo Fibre,High Altitude,658.08,25.53,1089.5,12849,10475,2.6,2.0,HIGH
Polyester,High Altitude,323.78,21.49,1066.2,11246,16846,2.7,3.3,MEDIUM
Kevlar,Hot Desert,2251.08,15.29,1210.3,6320,7830,3.3,5.3,MEDIUM
Polyester,High Altitude,309.46,34.25,2611.1,12280,6280,4.2,6.9,HIGH
Wool,General Use,1054.63,3.43,217.1,9811,9858,4.1,3.4,LOW
Polyester,Coastal,413.09,9.62,651.1,8512,12653,2.3,4.1,LOW
Kevlar,Cold Desert,2809.41,16.24,702.0,13308,9049,4.9,8.1,MEDIUM
Kevlar,High Altitude,2068.65,30.43,1295.5,11316,14500,4.1,1.7,MEDIUM
Nylon,Jungle,658.08,34.72,2269.4,12961,16459,2.5,2.6,MEDIUM
Nylon,High Altitude,573.05,31.81,1326.4,17256,26749,2.7,3.9,MEDIUM
Bamboo Fibre,Hot Desert,614.4,16.3,1020.1,10417,4291,4.2,1.0,MEDIUM
Polyester,High Altitude,259.85,26.02,1821.4,9344,10098,4.8,9.7,MEDIUM
Kevlar,General Use,3303.24,9.83,506.7,7877,7991,5.0,6.6,LOW
Cotton,General Use,487.05,7.1,417.1,6710,4390,4.4,2.3,MEDIUM
Wool,High Altitude,534.0,29.35,1981.6,5928,5861,1.5,6.8,MEDIUM
Nylon,General Use,695.25,7.03,358.7,7346,8663,3.2,6.9,LOW
Bamboo Fibre,Hot Desert,502.99,11.19,378.5,11069,7350,2.2,5.0,MEDIUM
Wool,Cold Desert,1127.0,15.1,1207.4,12994,11490,3.4,2.3,MEDIUM
Nylon,Jungle,744.9,38.71,1383.3,15821,10684,3.0,9.2,HIGH
Cotton,High Altitude,577.6,43.46,1331.5,14230,11103,3.9,7.3,HIGH
Cotton,Cold Desert,482.16,22.16,1573.8,14899,23644,4.1,3.7,MEDIUM
Cotton,Coastal,508.97,14.24,639.3,6684,4186,4.8,7.7,MEDIUM
Kevlar,Jungle,1621.48,22.97,1766.7,16860,16212,1.4,5.7,MEDIUM
Cotton,High Altitude,484.26,34.87,1679.5,7536,4762,1.9,2.4,HIGH
Polyester,General Use,412.72,8.92,462.7,3367,4048,1.5,3.5,LOW
